"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"150604","Franklin College","IN","3","1","429","0.571884984","0.5313","0.0","0.7797","24875.0","17000.0","605","969"
"150677","Grace College and Theological Seminary","IN","4","1","356","0.618556701","0.5414","0.1015","0.5817","16000.0","16225.0","711","1286"
"158644","D'Jay's Institute of Cosmetology and Esthiology","LA","1","3","84","0.367346939","","","0.4915","","","61","63"
"158662","Delgado Community College","LA","2","2","3022","0.133941204","","","0.6351","6500.0","5456.0","12419","17467"
"156921","Jefferson Community and Technical College","KY","2","2","3128","0.152571186","","","0.3626","5814.0","5234.0","7547","11632"
"157401","Murray State University","KY","4","1","1938","0.428162564","0.286","0.0","0.4958","12000.0","11000.0","4268","7956"
"157483","West Kentucky Community and Technical College","KY","2","2","1278","0.306973848","","","0.2636","5500.0","5039.5","2494","4648"
"157827","Trend Setters' Academy of Beauty Culture-Louisville","KY","1","2","134","0.276595745","","","0.8409","","","79","95"
"157863","Union College","KY","4","1","321","0.078703704","0.1582","0.0","0.7964","10333.0","9500.0","658","808"
"157331","Maysville Community and Technical College","KY","2","2","859","0.264746228","","","0.347","7500.0","5458.0","2136","2821"
"158158","American School of Business","LA","1","3","71","0.5","","","0.6634","9500.0","4938.5","76","85"
"158246","Ayers Career College","LA","1","3","376","0.507246377","","","0.9403","9500.0","9500.0","336","267"
"158538","Cloyd's Beauty School 1 Inc","LA","1","3","","","","","0.0","","","","51"
"158617","Crescent City Bartending School","LA","1","3","857","0.818181818","","","0.334","4000.0","5500.0","1010","469"
"157818","Transylvania University","KY","3","1","236","0.656862745","0.6746","0.0","0.5829","25000.0","23990.0","435","1081"
"157678","Empire Beauty School-Florence","KY","1","2","354","0.439597315","","","0.723","5500.0","5983.5","1276","165"
"148335","Robert Morris University Illinois","IL","4","1","3074","0.387965873","0.7639","0.0","0.8068","13733.0","9833.0","3625","2775"
"147378","Moraine Valley Community College","IL","2","2","1889","0.191139693","","","0.0662","5000.5","4113.0","1762","10987"
"149028","Saint Anthony College of Nursing","IL","4","1","112","0.830769231","","","0.6693","20750.0","25000.0","161","220"
"149532","Triton College","IL","2","2","1540","0.148840992","","","0.0437","4000.0","3500.0","1050","9184"
"145682","Illinois Central College","IL","2","2","2395","0.164426383","","","0.1282","3500.0","3500.0","2519","7882"
"150066","Anderson University","IN","4","1","736","0.454703833","0.4509","0.0","0.7139","23253.0","17750.0","1246","1862"
"148991","Spoon River College","IL","2","2","503","0.040425532","","","0.1901","4258.0","3562.0","567","1207"
