"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.cumulative_debt.number","2013.student.size"
"234924","Paul Mitchell the School-Richland","WA","1","2","58","0.486842105","0.3973","159","128"
"234979","Columbia Basin College","WA","3","1","1456","0.152901024","0.1053","1154","5146"
"237109","Yakima Valley College","WA","2","1","1375","0.284005038","0.2438","1727","2587"
"236638","Skagit Valley College","WA","2","1","824","0.122557727","0.1334","848","2768"
"236975","Wenatchee Valley College","WA","2","2","956","0.244786945","0.2298","1286","2700"
"236993","Everest College-Vancouver","WA","1","3","2843","0.460737938","0.6619","3472","324"
"237066","Whitworth University","WA","4","1","738","0.634822804","0.6246","1287","2337"
"237127","Appalachian Beauty School","KY","1","2","","","0.0","","19"
"237303","Charleston School of Beauty Culture","WV","1","2","54","0.415730337","0.3314","116","121"
"237321","Clarksburg Beauty Academy and School of Massage Therapy","WV","1","2","100","0.488888889","0.6076","97","70"
"233754","Thomas Nelson Community College","VA","2","2","1995","0.114294811","0.2342","3995","9097"
"232414","J Sargeant Reynolds Community College","VA","2","2","1719","0.136336867","0.241","4536","10727"
"233842","Union Presbyterian Seminary","VA","4","1","","","","",""
"233949","Virginia Western Community College","VA","2","2","1425","0.173549107","0.1533","1998","5505"
"230597","Snow College","UT","3","1","715","0.051756007","0.3866","1223","3051"
"233657","Springfield Beauty Academy","VA","1","3","109","0.653333333","0.6835","101","79"
"233684","Strayer University-Virginia","VA","4","1","12317","0.10497544","0.5362","42076","4837"
"231280","Paul Mitchell the School-Roanoke","VA","1","3","64","0.476190476","0.5241","86","108"
"231536","Blue Ridge Community College","VA","2","2","814","0.247532895","0.1885","1199","3524"
"233408","Riverside College of Health Careers","VA","2","2","162","0.883116883","0.8382","305","305"
"233541","Shenandoah University","VA","4","1","682","0.470288625","0.5679","1148","1859"
"232706","Marymount University","VA","4","1","725","0.445923461","0.5773","1259","2371"
"232609","Lynchburg College","VA","4","1","722","0.191803279","0.7209","1251","2140"
"233295","Randolph-Macon College","VA","3","1","383","0.566225166","0.7143","623","1294"
"238032","West Virginia University","WV","4","1","6237","0.424335378","0.5348","12292","22130"
"237899","West Virginia State University","WV","4","1","791","0.240601504","0.5265","1523","2195"
"237905","West Virginia University Hospital Departments of Rad Tech and Nutrition","WV","1","1","","","0.3182","24","42"
"237932","West Liberty University","WV","4","1","874","0.326745718","0.6177","1445","2412"
"237330","Concord University","WV","4","1","722","0.302052786","0.6086","1522","2474"
"238078","Wheeling Jesuit University","WV","4","1","367","0.473529412","0.5765","750","1139"
"237817","Southern West Virginia Community and Technical College","WV","2","2","770","","0.0441","192","1829"
"237783","Salem International University","WV","4","1","191","0.133466136","0.8718","802","441"
"237473","James Rumsey Technical Institute","WV","1","3","","","0.0","","129"
"237491","Ralph R Willis Career and Technical Center","WV","1","3","","","0.0","","27"
"237552","Meredith Manor International Equestrian Center","WV","1","2","74","0.540540541","0.5207","156","121"
"237729","Academy of Careers and Technology","WV","1","3","104","0.144144144","0.0","","124"
"237996","West Virginia Junior College-Morgantown","WV","2","2","292","0.469798658","0.9071","528","291"
"237057","Whitman College","WA","3","1","240","0.811965812","0.3587","449","1525"
"234492","The Art Institute of Seattle","WA","3","1","1326","0.262218045","0.6694","1582","1573"
"236577","Seattle Pacific University","WA","4","1","969","0.488859764","0.6689","1612","3354"
"235316","Gonzaga University","WA","4","1","1092","0.727076591","0.5318","1837","4830"
"235510","ITT Technical Institute-Seattle","WA","3","1","786","0.136518771","0.7529","657","444"
"236513","Seattle Central College","WA","3","1","1159","0.110245656","0.0","304","3116"
"236133","Northwest University","WA","4","1","397","0.381333333","0.6487","848","1354"
"236328","University of Puget Sound","WA","4","1","677","0.756957328","0.5632","1113","2542"
"235352","Toni & Guy Hairdressing Academy-Shoreline","WA","1","3","","0.785714286","0.6471","101","65"
"235501","International Air and Hospitality Academy","WA","1","3","464","0.740056818","0.7875","1070","266"
"235547","Bastyr University","WA","4","1","128","0.886956522","0.6637","245","216"
"236018","BJ's Beauty & Barber College","WA","1","2","","0.653333333","0.8562","121","121"
"235088","Divers Institute of Technology","WA","1","3","339","0.936802974","0.9066","403","234"
"235158","Paroba College of Cosmetology","WA","1","3","114","0.834951456","0.4773","181","109"
"230630","Stevens-Henager College","UT","3","1","1760","0.338642659","0.7979","10418","152"
"230807","Westminster College","UT","4","1","651","0.572490706","0.6207","1142","2260"
"230913","Johnson State College","VT","4","1","697","0.323049002","0.735","1109","1433"
"232089","Ferrum College","VA","3","1","657","0.25989673","0.9026","1164","1506"
"230931","Lyndon State College","VT","4","1","629","0.298755187","0.7837","946","1363"
"232043","Eastern Mennonite University","VA","4","1","407","0.473333333","0.7224","660","1148"
"231165","Vermont Technical College","VT","3","1","814","0.627819549","0.6591","1114","1361"
"232502","Everest College-Newport News","VA","2","2","1710","0.621107266","0.661","1819","525"
"231837","Jefferson College of Health Sciences","VA","4","1","425","0.577060932","0.7529","601","810"
"230898","Green Mountain College","VT","4","1","318","0.380952381","0.7111","394","578"
"234076","University of Virginia-Main Campus","VA","4","1","1856","0.849001175","0.2414","3145","15020"
"234739","Everest College-Bremerton","WA","2","2","2318","0.621579113","0.4307","3518","273"
"234696","Bellingham Technical College","WA","2","2","496","0.244559586","0.3209","1151","720"
"234377","Wytheville Community College","VA","2","2","647","0.275132275","0.0447","284","2076"
"235024","Cornish College of the Arts","WA","4","1","335","0.540650407","0.8947","461","775"
"233639","Southside Virginia Community College","VA","2","2","1209","0.189172371","0.0","","2773"
"230959","Middlebury College","VT","4","1","484","0.803278689","0.2514","480","2466"
"234085","Virginia Military Institute","VA","3","1","355","0.665441177","0.4645","530","1675"
"231077","College of St Joseph","VT","4","1","85","0.278481013","0.648","133","158"
"234207","Washington and Lee University","VA","4","1","192","0.872727273","0.2301","267","1846"
"238722","Fox Valley Technical College","WI","2","2","1961","0.080664294","0.3477","5315","7027"
"239488","Northeast Wisconsin Technical College","WI","2","2","2210","0.30899654","0.3807","4970","6675"
"239105","Marquette University","WI","4","1","1886","0.745382586","0.508","2864","8190"
"238430","Cardinal Stritch University","WI","4","1","1179","0.351265823","0.7178","2221","2680"
"240471","University of Wisconsin-River Falls","WI","4","1","1967","0.50586782","0.6503","3129","5506"
"240170","Western Technical College","WI","2","2","1502","0.283284458","0.4815","3082","4327"
"239877","State College of Beauty Culture Inc","WI","1","2","77","0.735294118","0.5072","68","55"
"240107","Viterbo University","WI","4","1","753","0.476060192","0.7373","1282","2052"
"238458","Carroll University","WI","4","1","1005","0.514007308","0.7108","1710","3024"
"239169","Medical College of Wisconsin","WI","4","1","92","","","43",""
"239318","Milwaukee School of Engineering","WI","4","1","886","0.56372549","0.7296","1153","2452"
"240666","Sheridan College","WY","2","2","503","0.275362319","0.1095","754","2108"
"239460","Northcentral Technical College","WI","2","2","990","0.379204893","0.4261","2687","3632"
"238193","Alverno College","WI","4","1","780","0.359621451","0.8784","1406","1833"
"240718","Wyotech-Laramie","WY","2","2","6050","0.729273172","0.5463","5459","1462"
"240514","Central Wyoming College","WY","2","2","354","0.237995825","0.1594","506","1127"
