"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.cumulative_debt.number","2013.student.size"
"243568","Universidad Central Del Caribe","PR","4","1","77","0.346666667","0.0","0.528","48","144"
"243586","Pontifical Catholic University of Puerto Rico-Mayaguez","PR","4","1","1399","0.228365385","0.0368","0.4852","3595","1369"
"245290","Jones Hair Design College","MS","1","3","92","0.254237288","","0.6519","119","112"
"245342","Vatterott College-Berkeley","MO","2","2","4487","0.49322938","0.0","0.2725","7593","1344"
"244154","ITT Technical Institute-Westminster","CO","3","1","5336","0.370388079","0.0","0.739","71736","218"
"243823","Parker University","TX","4","1","163","0.797814208","","0.7681","401","157"
"243832","EDP University of Puerto Rico Inc-San Juan","PR","4","1","711","0.18021978","0.015","0.255","767","1272"
"246008","Career Point College","OK","2","2","2576","0.184308264","","0.9798","2030","236"
"245883","Antioch University-Seattle","WA","4","1","480","0.49825784","","0.8253","650","230"
"244279","Meridian College","FL","2","2","174","0.6996997","","0.7471","224","163"
"244613","ETI School of Skilled Trades","IL","1","3","689","0.819196429","","0.6866","623","309"
"245999","Francis Tuttle Technology Center","OK","1","3","339","0.33423913","","0.2276","300","921"
"245865","Antioch University-New England","NH","4","1","480","0.49825784","","","650",""
"239017","Lawrence University","WI","3","1","299","0.670498084","0.0","0.5738","591","1517"
"242945","Modern Hairstyling Institute-Bayamon","PR","1","3","249","","","0.0","","253"
"242954","Modern Hairstyling Institute-Arecibo","PR","1","3","80","","","0.0","","76"
"242981","National University College-Arecibo","PR","3","1","3134","0.099647027","0.018","0.5347","5104","1646"
"243601","Universidad del Turabo","PR","4","1","3874","0.159720425","0.0785","0.3769","5610","14556"
"243197","University of Puerto Rico-Mayaguez","PR","4","1","","0.237887861","0.0","0.1532","1841","10697"
"243081","Ponce Health Sciences University","PR","4","1","","","","","",""
"243106","University of Puerto Rico-Aguadilla","PR","3","1","","0.223880597","0.1716","0.116","449","2886"
"243133","University of Puerto Rico-Bayamon","PR","3","1","","0.26993865","0.119","0.0527","355","4847"
"243179","University of Puerto Rico-Humacao","PR","3","1","","0.469135803","0.1296","0.0783","353","3383"
"243151","University of Puerto Rico-Cayey","PR","3","1","","0.38372093","0.0723","0.0395","233","3779"
"243212","University of Puerto Rico-Ponce","PR","3","1","","0.375","0.0563","0.0725","380","3120"
"239424","Nashotah House","WI","4","1","","","","","",""
"239628","Ripon College","WI","3","1","293","0.628959276","0.0","0.666","482","883"
"242884","MBTI Business Training Institute","PR","1","3","478","0.060846561","","0.0","","4431"
"260372","Lac Courte Oreilles Ojibwa Community College","WI","2","2","171","0.094936709","","0.0","","254"
"260910","Kaplan University-Cedar Falls Campus","IA","4","1","35383","0.229498118","0.0","0.759","57296","386"
"260956","Knowledge Systems Institute","IL","4","1","","","","","",""
"260974","ITT Technical Institute-Arlington Heights","IL","3","1","5336","0.370388079","0.0","0.808","71736","248"
"363679","Grabber School of Hair Design","MO","1","3","88","0.655555556","","0.6667","170","134"
"363907","Caribbean University-Ponce","PR","4","1","1534","0.131578947","0.0821","0.3969","1219","1159"
"261393","Tulsa Technology Center-Broken Arrow Campus","OK","1","3","178","0.262773723","","0.0","","736"
"261861","Pennsylvania Institute of Health and Technology","PA","2","2","292","0.469798658","","0.8269","528","118"
"233772","Tidewater Community College","VA","2","2","5866","0.071268537","","0.2412","12025","25981"
"236948","University of Washington-Seattle Campus","WA","4","1","7894","0.721619898","0.0","0.3261","13418","28754"
"237011","Western Washington University","WA","4","1","3395","0.597635393","0.0","0.4661","5522","13925"
