"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"438708","Eastern West Virginia Community and Technical College","WV","2","2","0.170520231","0.2384","5573.0","3750.0","214","544"
"443544","University of Phoenix-Indiana","IN","4","1","0.182380398","0.7458","9500.0","9500.0","285765","338"
"442842","Pacific College of Oriental Medicine-Chicago","IL","4","1","0.539534884","0.7586","12500.0","12500.0","423","75"
"442888","InterCoast Colleges-Riverside","CA","2","2","0.691365585","0.8476","9500.0","9500.0","2660","84"
"442930","University of Antelope Valley","CA","4","1","0.730322581","0.5281","7704.0","8744.0","1004","793"
"442949","Birthingway College of Midwifery","OR","3","1","","0.6444","","","41","67"
"442985","California Healing Arts College","CA","1","3","0.570512821","0.7632","8062.5","9500.0","193","9"
"443100","Colegio Educativo Tecnologico Industrial Inc","PR","1","3","","0.0","","","","188"
"443137","Irene's Myomassology Institute","MI","1","3","0.79245283","0.6055","6598.0","6598.0","376","353"
"443216","P C Age-Jersey City","NJ","1","3","0.738255034","0.4518","9500.0","12257.0","348","196"
"443289","Toni & Guy Hairdressing Academy-Colorado Springs","CO","1","2","0.689922481","0.4692","","","202","49"
"443298","Trend Barber College","TX","1","3","0.550295858","0.6402","","","211","196"
"443322","Valley Grande Institute for Academic Studies","TX","1","3","0.718446602","0.8175","7917.0","7917.0","538","118"
"443669","Milan Institute-Sparks","NV","1","3","0.739946381","0.3367","9075.0","8919.0","1158","328"
"443702","Bexley Hall Seabury Western Theological Seminary Federation Inc.","IL","4","1","","","","","",""
"443766","Strayer University-Tennessee","TN","4","1","0.10497544","0.8809","6763.0","6334.0","42076","1194"
"443632","Colorado Media School","CO","1","3","0.734482759","0.8581","9500.0","9500.0","593","187"
"443650","Miller-Motte Technical College-Chattanooga","TN","2","2","0.381311228","0.8307","9500.0","8479.0","8687","442"
"443942","The Beauty Institute Schwarzkopf Professional-Boise","ID","1","2","0.697802198","0.5897","12000.0","9500.0","294","105"
"444024","Everest College-Tacoma","WA","2","2","0.621579113","0.4476","9500.0","9455.5","3518","859"
"443836","Brightwood College-Corpus Christi","TX","2","2","0.719900498","0.4433","9332.0","9061.0","3214","369"
"444088","Brookline College-Albuquerque","NM","3","1","0.483746557","0.6336","9497.5","9233.0","3575","272"
"437103","Baton Rouge Community College","LA","2","2","0.050637959","0.3726","4500.0","3750.0","4346","7263"
"440794","Pillar College","NJ","3","1","0.302325581","0.7417","14250.0","12750.0","226","411"
"442222","Argosy University-Dallas","TX","4","1","0.116635839","0.6988","6569.0","6334.0","29626","218"
"439190","Cascadia College","WA","2","1","0.212328767","0.1089","5331.0","4941.0","523","2177"
"441742","Concorde Career College-Grand Prairie","TX","2","2","0.724895398","0.6355","9500.0","9500.0","1152","785"
"153296","Ellsworth Community College","IA","2","2","0.086859688","0.5164","7250.0","5500.0","838","827"
"154457","Iowa School of Beauty-Sioux City","IA","1","2","0.675","0.5889","","","68","54"
"419420","Putnam Career and Technical Center","WV","1","3","","0.0","","","","126"
"439622","Erie 1 BOCES","NY","1","3","0.721153846","0.9534","9491.5","6333.0","309","155"
"439871","PCI College","CA","1","2","0.6","0.609","","","134","104"
"439905","American Career College-Lynwood","CA","1","3","0.75","0.8873","","","60","47"
"141848","Med-Assist School of Hawaii Inc","HI","1","3","0.598540146","0.6962","","","98","81"
"440907","Star Career Academy-Newark","NJ","1","3","0.579842137","0.6237","8934.0","7916.0","3936","497"
