"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"262129","New College of Florida","FL","3","1","28","119","0.608695652","0.5693","0.2921","0.3738","9250.0","14500.0","278","793"
"441548","Institute for Therapeutic Massage","NJ","1","3","42","172","0.682432432","","","0.9516","6861.0","5436.0","174","139"
"441609","Yeshiva Shaarei Torah of Rockland","NY","3","1","","","","","","0.0","","","","116"
"441636","American Institute of Alternative Medicine","OH","2","2","36","117","0.682432432","","","0.8835","13000.0","7917.0","301","263"
"441706","Caribbean Forensic and Technical College","PR","1","3","68","104","","","","0.0","","","","189"
"441973","Argosy University-The Art Institute of California-Orange County","CA","3","1","560","2587","0.116635839","0.25","0.0264","0.8344","6569.0","6334.0","29626","1761"
"440828","Oregon State University-Cascades Campus","OR","4","1","375","4434","0.49086758","","","0.5812","14822.0","14189.0","9899","765"
"440420","University of Phoenix-Massachusetts","MA","4","1","40061","185887","0.182380398","0.0","0.0","0.3725","9500.0","9500.0","285765","181"
"439862","Pacific Islands University","GU","4","1","","","","0.0","0.0","0.0","","","","71"
"439437","Lincoln Technical Institute-Fern Park","FL","2","2","113","553","0.536036036","","","0.7474","9500.0","9500.0","416","231"
"440916","Southern University Law Center","LA","4","1","122","1518","0.278644068","","","","18250.0","14736.5","4033",""
"442073","Lincoln Technical Institute-Paramus","NJ","1","3","1037","4058","0.553614125","","","0.7805","7751.0","6800.0","4746","645"
"442037","Lincoln Technical Institute-Northeast Philadelphia","PA","2","2","1037","4058","0.553614125","","","0.7666","7751.0","6800.0","4746","311"
"440989","Texas Barber Colleges and Hairstyling Schools","TX","1","3","330","738","0.43923445","","","0.6537","8518.5","8787.0","1104","907"
"441168","Northwest College-Hillsboro","OR","1","2","57","154","0.600609756","","","0.6894","12345.5","13782.0","803","85"
"441229","West Coast Ultrasound Institute","CA","2","2","42","360","0.759433962","","","0.341","16500.0","18667.0","1308","683"
"441487","Texas County Technical College","MO","2","2","47","190","0.588235294","","","0.8357","9746.0","9509.5","210","139"
"371690","Downey Adult School","CA","1","2","","","","","","0.0","","","","1317"
"381459","Phoenix Seminary","AZ","4","1","","","","","","","","","",""
"203386","Hondros College of Nursing","OH","3","1","","","0.537162162","","0.0","0.9074","9500.0","9500.0","2144","1656"
"233480","Bon Secours St Mary's Hospital School of Medical Imaging","VA","1","2","","","","","","1.0","","","41","28"
"366003","South Florida Bible College and Theological Seminary","FL","4","1","","","","","","0.4928","","","31","107"
"367954","University of St Augustine for Health Sciences","CA","4","1","","","","","","","","","",""
"456968","Health And Style Institute","NC","1","3","","","0.421052632","","","0.3902","","","253","179"
"457004","American National University-Columbus","OH","2","1","839","2936","0.2461879","","","0.8396","11611.0","9500.0","4033","99"
"457022","Herzing University-Toledo","OH","3","1","344","1616","0.25384787","","","0.8436","9500.0","9500.0","9122","205"
