"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.student.size"
"469416","Dewey University-Manati","PR","1","1","2456","3191","0.050090369","0.0","274"
"469586","Baltimore School of Massage-York","PA","1","3","120","568","0.689189189","0.9119","45"
"469610","Allen School-Phoenix","AZ","1","2","308","1453","0.598809524","0.993","823"
"470047","WellSpring School of Allied Health-Lawrence","KS","1","2","26","144","0.810606061","0.8226","28"
"470162","Brown Mackie College-Birmingham","AL","3","1","278","1822","0.378853985","0.7259","954"
"470296","Manuel and Theresa's School of Hair Design-Victoria","TX","1","3","","","0.676470588","0.6875","23"
"470302","Coast Career Institute","CA","1","2","","","0.360522023","0.1512","92"
"474881","Minneapolis Media Institute","MN","3","1","31","296","0.516930023","0.4713","147"
"474906","Stevens-Henager College","ID","3","1","76","259","0.465934066","0.8909","73"
"474933","Hair Design Institute","FL","1","3","63","208","0.779816514","0.3312","67"
"475015","Aveda Institute-Des Moines","IA","1","2","","","","0.5563","213"
"475130","Fortis College-Montgomery","AL","2","2","206","922","0.525233645","0.7081","192"
"475200","Whitworth University-Adult Degree Programs","WA","3","1","53","738","0.634822804","0.7741","310"
"475255","American Broadcasting School-Online Program","OK","1","3","76","279","0.704301075","0.7292","81"
"11458501","San Jose Campus","CA","0","1","","","","",""
"11635001","International School of Cosmetology","CA","0","3","","","0.885714286","",""
"12293101","Jesuit School of Theology of Santa Clara University","CA","0","1","74","894","0.701388889","",""
"14736901","Moody Theological Seminary and Graduate School--Michigan","MI","0","1","","","0.245454546","",""
"15483701","CBTS - Wisconsin","WI","0","1","","","","",""
"15631005","PJ's College of Cosmetology- Louisville","KY","0","2","79","264","0.5","",""
"19857001","Gaston College","NC","0","2","247","1110","0.157955198","",""
"22828202","Southwest School of Business and Technical Careers-Corpus Christi","TX","0","3","108","503","0.488188976","",""
"37727202","SW School of Business & Technical Careers","TX","0","3","29","70","","",""
"45486501","Cambridge Institute of Allied Health & Technology","GA","0","2","","","0.549382716","",""
"182917","Northeast Catholic College","NH","3","1","","","","",""
"458742","Minnesota School of Business-Lakeville","MN","3","1","440","3878","0.365751634","0.7676","197"
"458751","Globe University-Green Bay","WI","3","1","82","620","0.336213103","0.7923","235"
"458779","Globe University-Wausau","WI","3","1","82","620","0.336213103","0.8159","181"
"458803","Empire Beauty School-E Memphis","TN","1","3","131","489","0.471428571","0.7428","169"
"458919","Strayer University-Georgia","GA","4","1","2036","12317","0.10497544","0.8504","3253"
"458973","Strayer University-Texas","TX","4","1","2036","12317","0.10497544","0.7895","954"
"458982","The Art Institute of San Antonio","TX","3","1","202","1259","0.266666667","0.7332","1115"
"458991","Globe University-La Crosse","WI","3","1","82","620","0.336213103","0.8254","237"
"459046","The Hair Design School-Winston-Salem","NC","1","3","96","218","0.505263158","0.6878","121"
"459064","Empire Beauty School-Pineville","NC","1","3","118","354","0.439597315","0.5911","105"
"459143","Golden State College of Court Reporting","CA","1","2","","","","0.3095","68"
"459170","Paul Mitchell the School-Modesto","CA","1","3","","","","0.781","73"
"459189","Cosmo Beauty Academy","CA","1","3","","","","0.5347","64"
"459204","Unitek College","CA","3","1","","","0.863157895","0.6397","904"
"459213","Gurnick Academy of Medical Arts","CA","2","1","","","0.666666667","0.7502","843"
"459231","Paul Mitchell the School-East Bay","CA","1","3","","","","0.5568","259"
"459338","Eureka Institute of Health and Beauty","FL","1","3","","","","0.1333","75"
"459365","Unity Cosmetology College","IL","1","3","","","","0.6353","77"
"459374","Universal Spa Training Academy","IL","1","3","","","","0.5741","58"
"459392","The Salon Professional Academy-Evansville","IN","1","3","","","","0.3333","105"
"459426","Nova Academy of Cosmetology","MN","1","3","","","","0.7358","84"
"459462","SAE Institute of Technology-New York","NY","1","3","","","","0.5586","218"
"459471","John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry","NY","1","3","","","","0.8085","27"
"459514","Peloton College","TX","1","2","","","","0.8036","48"
"459578","Paul Mitchell the School-Milwaukee","WI","1","2","","","","0.6058","161"
"459596","ITT Technical Institute-Tallahassee","FL","3","1","974","5336","0.370388079","0.8784","368"
"459602","ITT Technical Institute-Salem","VA","3","1","974","5336","0.370388079","0.8454","250"
"459611","ITT Technical Institute-Akron","OH","2","1","974","5336","0.370388079","0.8697","249"
"459657","ITT Technical Institute-DeSoto","TX","2","1","974","5336","0.370388079","0.8534","187"
"459675","ITT Technical Institute-Aurora","CO","3","1","974","5336","0.370388079","0.7653","247"
"459745","The Chicago School of Professional Psychology at Washington DC","DC","4","1","","","","",""
"459824","Touro University Nevada","NV","4","1","","","0.512820513","0.7209","4"
"459958","Fortis Institute-Houston","TX","1","2","139","651","0.669868996","0.6953","333"
"460002","Regina's College of Beauty-Charlotte","NC","1","3","","","0.299401198","1.0","102"
"460057","Avant Gard The School","IN","1","3","","","","0.7273","47"
"460066","The Beauty Institute-Schwarzkopf Professional-Bellingham","WA","1","3","","59","0.689922481","0.5877","75"
"460093","Ross Medical Education Center-Davison","MI","1","3","131","559","0.780916031","0.4412","181"
"460181","Concorde Career College-Dallas","TX","2","2","171","901","0.710419486","0.4089","703"
"460190","Concorde Career Institute-Orlando","FL","2","2","300","995","0.667708333","0.4747","521"
"13830903","Rasmussen College-Tampa/Brandon","FL","0","1","340","2247","0.292676016","",""
"17501404","Rasmussen College-Brooklyn Park","MN","0","1","340","2247","0.292676016","",""
"20001301","Rasmussen College-Bismarck","ND","0","1","340","2247","0.292676016","",""
"20627906","New England Center","VT","0","1","98","724","0.540412044","",""
"23368402","Strayer University-Woodbridge Campus","VA","0","1","2036","12317","0.10497544","",""
"23368403","Strayer University-Manassas Campus","VA","0","1","2036","12317","0.10497544","",""
"23368405","Strayer University-Fredericksburg Campus","VA","0","1","2036","12317","0.10497544","",""
"23368411","Strayer University-Virginia Beach Campus","VA","0","1","2036","12317","0.10497544","",""
"43018404","Strayer University-Owings Mills Campus","MD","0","1","2036","12317","0.10497544","",""
"44378406","Strayer University-Allentown Campus","PA","0","1","2036","12317","0.10497544","",""
"44867301","Rasmussen College-Aurora","IL","0","1","340","2247","0.292676016","",""
"44903802","Strayer University-Maitland Campus","FL","0","1","2036","12317","0.10497544","",""
"44903807","Strayer University-Coral Springs Campus","FL","0","1","2036","12317","0.10497544","",""
"44903811","Strayer University-Brickell","FL","0","1","2036","12317","0.10497544","",""
"45321501","Strayer University-Willingboro Campus","NJ","0","1","2036","12317","0.10497544","",""
"45891908","Strayer University-Columbus","GA","0","1","2036","12317","0.10497544","",""
"45896402","Strayer University-Charleston Campus","SC","0","1","2036","12317","0.10497544","",""
"45897304","Strayer University-Plano","TX","0","1","2036","12317","0.10497544","",""
"457226","Horizon University","CA","3","1","","","","0.2857","58"
"457244","San Diego Culinary Institute","CA","1","3","","","0.873563218","0.5426","54"
"457253","Beyond 21st Century Beauty Academy","CA","1","3","","","","0.1099","46"
"457387","Immokalee Technical College","FL","1","2","","","","0.0","212"
"457402","University of Fort Lauderdale","FL","4","1","","","","0.62","33"
"457411","Aviation Institute of Maintenance-Orlando","FL","1","2","","","0.730434783","0.8186","268"
"457466","Profile Institute of Barber-Styling","GA","1","3","","","0.720930233","0.5238","60"
"457509","Master Educators Beauty School","ID","1","2","","","","0.44","33"
"457527","Ambria College of Nursing","IL","2","1","","","0.751111111","0.5645","293"
"457590","A & W Healthcare Educators","LA","1","3","","","","0.878","48"
"457615","Blackstone Valley Vocational Regional School District","MA","1","3","","","","0.7742","50"
"457776","Toni & Guy Hairdressing Academy-Albuquerque","NM","1","3","","","0.382352941","0.6194","84"
"457819","Institute of Culinary Education","NY","1","3","","","0.861878453","0.5127","613"
"457837","The Salon Professional Academy-Tonawanda","NY","1","3","","","0.811320755","0.6757","109"
