"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.aid.federal_loan_rate","2013.aid.cumulative_debt.number","2013.student.size"
"481562","Toni & Guy Hairdressing Academy-Manteca","CA","1","3","0.0","42","54"
"481571","Belle Academy of Cosmetology","CT","1","3","0.5","","6"
"481614","ITT Technical Institute-Pensacola","FL","2","1","","71736","165"
"481720","South University-High Point","NC","4","1","","26241","203"
"481748","Empire Beauty School-Stone Park","IL","1","3","1.0","1282","196"
"481766","Court Reporting Institute of St Louis","MO","2","2","","447","161"
"481863","Ross Medical Education Center-Kokomo","IN","1","3","0.7105","589","115"
"481890","Ross Medical Education Center-Erlanger","KY","1","3","","1878","25"
"481906","Ross Medical Education Center-Charleston","WV","1","3","0.6585","1225","66"
"482097","Midwest Technical Institute-Springfield","MO","1","3","0.8947","4679","240"
"482103","Finger Lakes School of Massage","MD","1","3","0.069","362","57"
"482149","Augusta University","GA","4","1","0.5241","1484","5456"
"482200","Cosmetology Academy of Texarkana","TX","1","3","0.0","26","20"
"482246","Lynnes Welding Training","ND","1","3","0.0","","25"
"482325","National American University-Georgetown","TX","3","1","0.9368","13494","173"
"482334","National American University-Richardson","TX","2","1","0.8077","13494","197"
"482370","National American University-Indianapolis","IN","3","1","0.9792","13494","198"
"482468","DeVry University-Georgia","GA","4","1","0.8375","63222","2692"
"482583","DeVry University-Oklahoma","OK","4","1","0.7093","63222","130"
"482592","DeVry University-Oregon","OR","4","1","0.7882","63222","88"
"482608","DeVry University-Pennsylvania","PA","4","1","0.8051","63222","1110"
"482954","Brown Mackie College-Dallas","TX","3","1","0.7473","31694","308"
"483009","American College of Healthcare","CA","1","2","0.725","624","73"
"10722003","Career Academy of Hair Design-Fayetteville","AR","0","3","","368",""
"12434402","Marinello School of Beauty-Visalia","CA","0","3","","1028",""
"13412101","University of Southernmost Florida-Coral Gables Campus","FL","0","1","","121",""
"13830904","Rasmussen College-Land O' Lakes","FL","0","1","","21520",""
"17796801","Lindenwood University-Belleville","IL","0","1","","5277",""
"24893403","ECPI University-Charlotte","NC","0","1","","9856",""
"24893404","ECPI University-Greenville","SC","0","1","","9856",""
"24893406","ECPI University-Charleston","SC","0","1","","9856",""
"24893409","ECPI University-Concord","NC","0","1","","9856",""
"24893411","ECPI University-Virginia Beach Health Sciences","VA","0","1","","9856",""
"24893413","ECPI University-Innsbrook","VA","0","1","","9856",""
"45897306","Strayer University-North Dallas","TX","0","1","","42076",""
"125310","Waynes College of Beauty","CA","1","3","0.0","","42"
"482972","The Healthcare Institute","TX","1","3","","",""
"483522","Comanche Nation College","OK","2","2","","",""
"484871","Rabbinical College Ohr Yisroel","NY","3","1","","",""
"485360","The Vocational Nursing Institute Inc","TX","1","3","","",""
"485397","Empire Beauty School-Cheltenham","PA","1","3","","",""
