"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level"
"483470","More Tech Institute","FL","1","3"
"483735","Total Transformation Institute of Cosmetology","TX","1","3"
"483805","National Personal Training Institute","VA","1","3"
"483814","Standard Healthcare Services-College of Nursing","VA","2","2"
"483823","Philadelphia Technician Training","PA","1","3"
"483902","Yechanlaz Instituto Vocacional","FL","1","3"
"483920","LaBarberia Institute of Hair","OH","1","2"
"483939","Setting the Standard Barbering and Natural Hair Academy","LA","1","3"
"484002","High Desert Medical College","CA","1","3"
"484057","Jupiter Beauty Academy","MA","1","3"
"484084","Debutantes School of Cosmetology and Nail Technology","IL","1","3"
"484145","Vantage College-San Antonio","TX","1","3"
"484190","Park Place Premier Barber School","LA","1","3"
"484358","Ross Medical Education Center-Johnson City","TN","1","3"
"484394","Taylor Andrews Academy-Orem","UT","1","3"
"484604","Ogle School Hair Skin Nails-Stafford","TX","1","3"
"484668","University of Phoenix-Florida","FL","4","1"
"484686","University of Phoenix-Louisiana","LA","4","1"
"484756","University of Phoenix-Texas","TX","4","1"
"484817","Merrillville Beauty College-Flawless Barber Academy","OH","1","2"
"484826","Tint School of Makeup & Cosmetology-Seattle","WA","1","3"
"484835","Centro de Estudios Multidisciplinarios-Mayaguez","PR","3","1"
"484932","BridgeValley Community & Technical College","WV","2","2"
"484950","Northwest College-Medford","OR","1","2"
"484996","Houston Training Schools-Gessner","TX","1","3"
"485166","Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology","OR","1","3"
"485193","Fayette Beauty Academy-Ritz Beauty Academy","GA","1","3"
"485236","Fountain of Youth Academy of Cosmetology","PA","1","3"
"485263","California College San Diego","CA","3","1"
"485281","National American University-Houston","TX","3","1"
"485306","All Beauty College","AZ","1","3"
"485421","Dewey University-Mayaguez","PR","2","2"
"485458","Coastal Pines Technical College","GA","2","2"
"12268511","San Joaquin Valley College-Temecula","CA","0","2"
"12268512","San Joaquin Valley College-Lancaster","CA","0","2"
"12268513","San Joaquin Valley College-San Diego","CA","0","2"
"19200401","Jamestown Business College -","NY","0","1"
"20417601","Mount Carmel College of Nursing - Fairfield","OH","0","1"
"36520407","Vista College - College Station","TX","0","2"
"40620004","Wright Career College-Omaha","NE","0","2"
"48414501","Vantage College-San Antonio","TX","0","3"
"475565","Stella and Charles Guttman Community College","NY","2","2"
"395195","Colton-Redlands-Yucaipa Regional Occupational Program","CA","1","3"
"475042","Brown Mackie College-Oklahoma City","OK","2","1"
"475097","International Culinary Center-California","CA","1","3"
"475370","Virginia College-Columbus","GA","2","2"
"475389","Donna's Academy of Hair Design","MO","1","3"
"475529","Prince Institute-Great Lakes","IL","1","2"
"475635","Beverly Hills Design Institute","CA","3","1"
"475653","Reflections Academy of Beauty","IL","1","3"
"475866","Virginia College-Shreveport","LA","2","2"
"476063","Tulsa Welding School-Jacksonville","FL","1","3"
"476142","Regency Beauty Institute-Lewisville","TX","1","3"
"476160","Regency Beauty Institute-Plano","TX","1","3"
"476498","Futura Career Institute","FL","1","3"
"476504","Access Careers","NY","1","3"
"476513","Flair Beauty College","CA","1","3"
"476577","Vantage College","TX","1","2"
"476629","Salon Institute-Toledo Campus","OH","1","2"
"476692","Yeshiva Gedolah Zichron Leyma","NJ","3","1"
"476717","Be'er Yaakov Talmudic Seminary","NY","3","1"
"476726","RGV Careers","TX","1","3"
"476735","Alexander Academy","MA","1","3"
"476744","LeMelange Academy of Hair","CA","1","3"
"476805","University Academy of Hair Design","AL","1","3"
"476814","Florida Institute of Recording Sound and Technology","FL","1","3"
"476850","Boise Barber College","ID","1","2"
"476869","Austin Kade Academy","ID","1","2"
"476902","Mitsu Sato Hair Academy","KS","1","3"
"476911","SAE Institute of Technology-Los Angeles","CA","1","3"
"476975","Colorado State University-Global Campus","CO","4","1"
"476984","Paul Mitchell the School-Overland Park","KS","1","3"
"476993","Medspa Academies","UT","1","3"
"477002","Brighton Institute of Cosmetology","MI","1","3"
"478616","Empire Beauty School-West Greensboro","NC","1","3"
"479053","Cortiva Institute-Seattle","WA","1","3"
"479062","MotoRing Technical Training Institute","RI","1","3"
"479628","ITT Technical Institute-Indianapolis East","IN","3","1"
"479637","ITT Technical Institute-Douglasville","GA","2","1"
"479655","ITT Technical Institute-Springfield","IL","2","1"
"479956","Pennsylvania State University-World Campus","PA","4","1"
"479974","Advance Beauty Techs Academy","CA","1","3"
"479983","Montage Academy","CO","1","2"
"480000","Hinton Barber and Beauty College","CA","1","3"
"480125","Ogle School Hair Skin Nails-San Antonio","TX","1","3"
"480310","Empire Beauty School-Glen Burnie","MD","1","3"
"480514","Vatterott College-Fairview Heights","IL","2","2"
"480569","Florida Institute of Technology-Online","FL","4","1"
"11339701","Marinello School of Beauty-Bell","CA","0","3"
"11339702","Marinello School of Beauty-City of Industry","CA","0","3"
"11339704","Marinello School of Beauty-Huntington Beach","CA","0","3"
"11339705","Marinello School of Beauty-Layton","UT","0","3"
"11390801","Marinello School of Beauty-Seaside","CA","0","3"
"11835613","Marinello School of Beauty-Anaheim","CA","0","3"
"12268502","San Joaquin Valley College-Online","CA","0","2"
"13012902","Marinello School of Beauty-Fairfield","CT","0","3"
"15098707","Ivy Tech Community College-South Central","IN","0","2"
"15098710","Ivy Tech Community College-Richmond","IN","0","2"
"15116602","Harrison College-Columbus","IN","0","1"
"15116606","Harrison College-Indianapolis East","IN","0","1"
