"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.aid.federal_loan_rate","2013.student.size"
"105349","Northland Pioneer College","AZ","2","2","152","473","0.0","1641"
"105482","Cortiva Institute-Scottsdale","AZ","1","3","37","124","0.8079","87"
"106546","Baptist Health College-Little Rock","AR","1","2","","307","0.8846","918"
"112826","Contra Costa College","CA","2","2","196","693","0.0275","5468"
"115357","Salon Success Academy-Riverside","CA","1","3","","","0.6111","30"
"115728","Holy Names University","CA","4","1","","209","0.8124","800"
"114947","Gemological Institute of America-Carlsbad","CA","1","3","31","128","0.1995","192"
"115010","Glendale Career College","CA","2","2","117","549","0.9294","293"
"112251","Claremont Graduate University","CA","4","1","","","",""
"112385","Coastline Community College","CA","2","2","262","352","0.0547","8999"
"115931","Institute for Business and Technology","CA","1","3","457","1601","0.8808","173"
"114938","Gavilan College","CA","2","2","151","599","0.0319","5267"
"113111","Crafton Hills College","CA","2","2","166","594","0.0","4716"
"115861","Imperial Valley College","CA","2","2","449","1915","0.0","6663"
"113537","Dell'Arte International School of Physical Theatre","CA","4","1","","","0.0","14"
"113582","Design Institute of San Diego","CA","3","1","","129","0.7402","181"
"112570","Columbia College-Hollywood","CA","3","1","","165","0.7604","314"
"120953","Palo Verde College","CA","2","2","47","154","0.0","2946"
"121150","Pepperdine University","CA","4","1","68","718","0.4412","3516"
"122436","University of San Diego","CA","4","1","105","1150","0.4259","5573"
"120795","Pacific School of Religion","CA","4","1","","","",""
"120865","Pacific Union College","CA","4","1","47","371","0.8453","1601"
"121309","Point Loma Nazarene University","CA","4","1","73","810","0.641","2543"
"120403","Otis College of Art and Design","CA","4","1","66","358","0.629","1029"
"120254","Occidental College","CA","3","1","32","310","0.4638","2028"
"122603","San Francisco Theological Seminary","CA","4","1","","","",""
"122852","Santa Barbara Business College-Santa Maria","CA","3","1","34","234","0.8037","188"
"122454","San Francisco Art Institute","CA","4","1","38","141","1.0","468"
"120078","North-West College-West Covina","CA","1","2","122","603","0.923","550"
"120661","Concorde Career College-San Diego","CA","2","2","233","799","0.4139","895"
"139931","Georgia Southern University","GA","4","1","318","3968","0.6223","17103"
"141574","University of Hawaii at Manoa","HI","4","1","356","2774","0.381","14097"
"142407","Aveda Institute-Twin Falls","ID","1","2","","","1.0","57"
"142416","Mr Leon's School of Hair Design-Moscow","ID","1","2","","62","0.9143","25"
"142443","North Idaho College","ID","2","2","285","1349","0.5753","5095"
"142328","Lewis-Clark State College","ID","3","1","154","1113","0.5878","3161"
"142337","ITT Technical Institute-Boise","ID","3","1","974","5336","0.8099","251"
"141608","Hawaii Institute of Hair Design","HI","1","3","","59","0.4106","85"
"141990","Windward Community College","HI","2","2","99","352","0.2211","1911"
"142832","Adler University","IL","4","1","","","",""
"143048","School of the Art Institute of Chicago","IL","4","1","134","672","0.4835","2641"
"142461","Northwest Nazarene University","ID","4","1","31","484","0.6407","1251"
"142090","Boise Bible College","ID","3","1","","89","0.6616","183"
"142294","The College of Idaho","ID","4","1","","241","0.6008","1086"
"142054","Carrington College-Boise","ID","2","2","150","746","0.61","552"
"132374","Atlantic Technical College","FL","1","2","55","212","0.0","902"
"132602","Bethune-Cookman University","FL","4","1","119","1253","0.9369","3723"
"134228","Fort Pierce Beauty Academy","FL","1","3","106","284","0.0","28"
"134343","Gulf Coast State College","FL","3","1","226","1325","0.1821","3643"
"134608","Indian River State College","FL","3","1","374","2174","0.1298","13993"
"133465","South University-West Palm Beach","FL","4","1","1453","6642","0.7803","972"
"131469","George Washington University","DC","4","1","177","1848","0.4048","10121"
"134811","AI Miami International University of Art and Design","FL","4","1","310","1799","0.7453","3167"
"133979","Florida Memorial University","FL","4","1","86","643","0.9209","1517"
"131830","National Conservatory of Dramatic Arts","DC","1","2","","","0.6111","37"
"131876","Trinity Washington University","DC","4","1","46","336","0.7873","1810"
"135276","Lively Technical Center","FL","1","3","65","204","0.0","1017"
"135294","Lindsey Hopkins Technical College","FL","1","2","59","222","0.0","890"
"135337","Loraines Academy & Spa","FL","1","3","56","156","0.4103","209"
"135063","Jones College-Jacksonville","FL","3","1","66","243","0.8393","445"
"139311","Clayton  State University","GA","4","1","199","1796","0.6983","6445"
"138691","Darton State College","GA","3","1","243","1598","0.5367","5984"
"138813","The Art Institute of Atlanta","GA","3","1","631","3882","0.8102","2974"
"139700","Georgia Highlands College","GA","3","1","160","1217","0.3779","5324"
"139621","East Georgia State College","GA","3","1","127","998","0.6434","2803"
"138716","Albany State University","GA","4","1","94","1053","0.9045","3566"
"139755","Georgia Institute of Technology-Main Campus","GA","4","1","140","2419","0.3387","13975"
"139764","Georgia Southwestern State University","GA","4","1","71","704","0.5809","2598"
"139463","Dalton State College","GA","3","1","214","1264","0.3563","4852"
"137865","Tom P Haney Technical Center","FL","1","2","44","147","0.0","421"
"138284","Florida Panhandle Technical College","FL","1","2","69","188","0.0","349"
"138293","Webber International University","FL","4","1","40","310","0.6244","662"
"130493","Southern Connecticut State University","CT","4","1","153","2244","0.6169","8257"
"127909","Red Rocks Community College","CO","2","2","247","1193","0.3289","8224"
"130943","University of Delaware","DE","4","1","155","3339","0.4917","17729"
"127884","Pueblo Community College","CO","2","2","518","1655","0.5043","4922"
"129215","Eastern Connecticut State University","CT","4","1","108","1449","0.6099","4920"
"131098","Wesley College","DE","4","1","74","859","0.8011","1481"
"129543","Housatonic Community College","CT","2","2","208","1083","0.0425","5288"
"128391","Western State Colorado University","CO","4","1","55","712","0.2279","1956"
"131113","Wilmington University","DE","4","1","124","1324","0.4817","8475"
"130509","Stone Academy-West Haven","CT","1","3","217","1052","0.6903","422"
"139959","University of Georgia","GA","4","1","375","4744","0.4148","26120"
"140827","Portfolio Center","GA","1","2","","85","0.9556","116"
"140960","Savannah State University","GA","4","1","92","963","0.857","4462"
"141565","University of Hawaii at Hilo","HI","4","1","224","865","0.4574","3335"
"141486","Chaminade University of Honolulu","HI","4","1","99","509","0.4346","1864"
"140234","LaGrange College","GA","4","1","","381","0.7986","854"
"139348","Columbia Theological Seminary","GA","4","1","","","",""
"139357","Columbus Technical College","GA","2","2","215","1016","0.3103","3556"
"141185","Toccoa Falls College","GA","3","1","39","358","0.7263","817"
"140003","Gwinnett College-Lilburn","GA","2","2","58","338","0.8184","368"
"141006","South Georgia Technical College","GA","2","2","141","622","0.0","1644"
"140678","North Georgia Technical College","GA","2","2","237","797","0.1714","2300"
"129808","Three Rivers Community College","CT","2","2","135","825","0.0695","4384"
"128258","Trinidad State Junior College","CO","2","2","183","621","0.2306","1307"
"129367","Capital Community College","CT","2","2","208","1038","0.0608","3732"
"128674","Branford Hall Career Institute-Branford Campus","CT","1","3","897","3702","0.6554","524"
"128498","Albertus Magnus College","CT","4","1","49","597","0.7824","1278"
"129428","Rensselaer Hartford Graduate Center Inc","CT","4","1","84","1368","",""
