"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"129482","American Institute-West Hartford","CT","1","2","109","522","0.62283737","0.8458","9751.0","7600.0","1611","327"
"129923","Lincoln Technical Institute-New Britain","CT","1","3","303","2016","0.576496674","0.7702","10735.5","9500.0","4777","465"
"128151","Pickens Technical College","CO","1","2","42","156","0.134453782","0.0","","","","1184"
"128188","Intellitec College-Grand Junction","CO","2","2","187","509","0.625","0.5029","10684.5","9500.0","850","536"
"128683","Lincoln College of New England-Southington","CT","3","1","52","378","0.291746641","0.7628","14191.0","9500.0","1153","837"
"128726","Bridgeport Hospital School of Nursing","CT","1","3","","125","0.722891566","1.0","15693.0","14125.0","202","171"
"128896","Connecticut Center for Massage Therapy-Newington","CT","1","3","71","448","0.638349515","0.9212","6558.0","6374.0","592","304"
"119067","Monterey Peninsula College","CA","2","2","155","566","0.105740181","0.0239","5500.0","4750.0","374","8781"
"118277","Brightwood College-San Diego","CA","2","2","256","1172","0.806722689","0.3786","9500.0","9500.0","1758","1335"
"118930","Mission College","CA","2","2","237","818","0.045985402","0.0078","4500.0","4500.0","205","7467"
"117715","Los Angeles Southwest College","CA","2","2","347","1208","0.045299562","0.0334","2250.0","3500.0","286","6129"
"119331","Napa Valley College","CA","2","2","123","600","0.08","0.0199","6000.0","6000.0","224","5707"
"118259","Brightwood College-Sacramento","CA","2","2","506","1353","0.713144963","0.5922","9465.0","9495.0","1751","520"
"117274","Lassen Community College","CA","2","2","155","300","","0.0559","5439.0","5500.0","202","2290"
"117104","Life Pacific College","CA","4","1","","146","0.3984375","0.5427","14500.0","12000.0","282","475"
"119553","National Holistic Institute","CA","1","3","148","589","0.790243902","0.792","9465.0","9471.0","1065","764"
"118958","Modern Beauty Academy","CA","1","3","","57","0.694444444","0.6197","","","52","48"
"119058","Middlebury Institute of International Studies at Monterey","CA","4","1","71","484","0.803278689","0.5909","16000.0","17300.0","480","22"
"138682","Albany Technical College","GA","2","2","213","884","0.355144404","0.5454","3500.0","3500.0","3654","3743"
"139144","Berry College","GA","4","1","25","421","0.572368421","0.5566","17500.0","12503.0","897","2122"
"135771","Beauty Schools of America-Miami","FL","1","3","502","1256","0.561388286","0.413","8500.0","8446.0","3824","631"
"138868","Point University","GA","3","1","35","207","0.481876333","0.8442","24750.0","11000.0","1056","1354"
"139278","West Georgia Technical College","GA","2","2","208","950","0.179376083","0.2343","4500.0","3500.0","2442","6283"
"138600","Agnes Scott College","GA","3","1","30","190","0.6","0.6576","","","429","858"
"135142","La Belle Beauty School","FL","1","3","100","267","0.742424242","0.759","","","323","290"
"135267","Fort Myers Technical College","FL","1","2","34","152","0.13559322","0.0","","","","705"
"134422","Key College","FL","1","1","","58","","0.9615","","","58","68"
"134510","Hobe Sound Bible College","FL","3","1","","","0.351851852","0.2533","4700.0","3450.0","45","194"
"134714","International Academy","FL","1","3","87","273","0.482905983","0.6829","6653.0","7633.0","348","257"
"114114","Emperor's College of Traditional Oriental Medicine","CA","4","1","","","","","","","",""
"114549","Fielding Graduate University","CA","4","1","","","","","","","",""
"114761","Fredrick and Charles Beauty College","CA","1","3","","","","0.0","","","","83"
"133960","Florida Keys Community College","FL","2","2","53","232","0.146634615","0.1502","6750.0","6500.0","276","964"
"132666","GUTI The Premier Beauty & Wellness Academy","FL","1","3","41","141","0.396341463","0.2652","4750.0","4750.0","167","129"
"132879","Johnson University Florida","FL","3","1","","75","0.242105263","0.7861","9500.0","11000.0","315","299"
"133809","Florida College","FL","3","1","26","234","0.322580645","0.6441","9946.0","8750.0","358","558"
"127653","Naropa University","CO","4","1","45","126","0.506849315","0.5821","15500.0","13125.0","260","380"
"130040","Northwestern Connecticut Community College","CT","2","2","49","254","0.165165165","0.0176","","","48","1233"
"130448","St Vincent's College","CT","3","1","","105","0.478048781","0.6092","9500.0","11125.0","556","772"
"128337","Empire Beauty School-Thornton","CO","1","2","96","218","0.505263158","0.6853","6222.0","6505.0","1257","161"
"129349","Paul Mitchell the School-North Haven","CT","1","3","","172","0.68852459","0.5063","","","189","156"
"131061","Schilling-Douglas School of Hair Design LLC","DE","1","3","37","140","0.567567568","0.52","","","158","146"
"130110","Paier College of Art Inc","CT","3","1","","59","0.5","0.6094","17742.5","15500.0","95","137"
"144892","Eastern Illinois University","IL","4","1","183","3316","0.474820144","0.6699","17500.0","17000.0","5273","8255"
"145275","Garrett-Evangelical Theological Seminary","IL","4","1","","","","","","","",""
"145309","Gem City College","IL","1","3","","","0.358974359","0.6923","","","44","44"
"145600","University of Illinois at Chicago","IL","4","1","472","4792","0.561747344","0.4838","13500.0","14000.0","7355","16601"
"151865","Anabaptist Mennonite Biblical Seminary","IN","4","1","","","","","","","",""
"151874","Merrillville Beauty College","IN","1","3","27","72","0.396039604","0.0","","","","62"
"152150","PJ's College of Cosmetology-Richmond","IN","1","3","","","0.512195122","0.5634","","","52","37"
"152248","Purdue University-Calumet Campus","IN","4","1","249","1940","0.211246944","0.4291","14000.0","11994.5","3637","7466"
"151111","Indiana University-Purdue University-Indianapolis","IN","4","1","545","6919","0.225328947","0.5366","13000.0","12500.0","13011","21569"
"151102","Indiana University-Purdue University-Fort Wayne","IN","4","1","321","2993","0.212318626","0.4984","13699.0","11500.0","5873","9795"
"151351","Indiana University-Bloomington","IN","4","1","416","6574","0.363986078","0.3936","18892.0","18250.0","10420","31984"
"149231","Southern Illinois University-Edwardsville","IL","4","1","182","3129","0.432924694","0.6017","12421.0","12500.0","6207","11179"
"151324","Indiana State University","IN","4","1","214","2552","0.217931647","0.6121","10250.0","9500.0","5821","10173"
"151379","Indiana University-Southeast","IN","4","1","137","1404","0.159343878","0.4133","9750.0","9198.5","3314","5699"
"149842","William Rainey Harper College","IL","2","2","251","1837","0.22164592","0.0942","5500.0","5500.0","2610","11217"
"152266","Purdue University-North Central Campus","IN","4","1","143","1037","0.266214908","0.3509","11433.5","8550.0","1982","3514"
"133951","Florida International University","FL","4","1","828","6962","0.412297893","0.456","11027.0","11107.0","15437","38234"
"137713","RIVEROAK Technical College","FL","1","2","","72","","0.0","","","","142"
"137759","Tallahassee Community College","FL","2","2","499","3166","0.219414894","0.4067","5500.0","5250.0","8317","12249"
"136303","Orange Technical College-Orlando Campus","FL","1","2","25","158","0.195266272","0.0","","","","392"
"136358","Palm Beach State College","FL","3","1","533","3377","0.279584463","0.1497","4500.0","4000.0","5060","26106"
"137023","First Coast Technical College","FL","1","3","54","234","0.119453925","0.0","","","","631"
"137032","Saint Leo University","FL","4","1","464","3445","0.331626975","0.527","10405.5","9500.0","10073","11993"
"135717","Miami Dade College","FL","3","1","2134","13648","0.262388932","0.0957","5500.0","5250.0","10027","61684"
"134130","University of Florida","FL","4","1","515","6024","0.765221878","0.3506","13000.0","13444.0","9495","32346"
"136109","Paul Mitchell the School-Jacksonville","FL","1","3","","80","0.714876033","0.6239","9833.0","9666.5","511","166"
"136288","Everest University-North Orlando","FL","4","1","1673","5796","0.160426198","0.6869","6334.0","4486.0","52934","714"
"135726","University of Miami","FL","4","1","219","2096","0.711739398","0.3559","18812.0","18500.0","3234","11246"
"136826","Robert Morgan Educational Center and Technical College","FL","1","2","57","286","0.103797468","0.0823","","","","816"
"136950","Rollins College","FL","4","1","57","554","0.604166667","0.5177","21500.0","19695.5","1075","2608"
"137315","South Florida State College","FL","3","1","113","657","0.134032634","0.0668","3283.0","3290.5","312","2031"
"147776","Northeastern Illinois University","IL","4","1","322","2163","0.315580986","0.3355","10436.5","9988.0","3252","8827"
"146719","Loyola University Chicago","IL","4","1","248","2690","0.655696203","0.6567","22000.0","21500.0","4822","9931"
"148098","Professional's Choice Hair Design Academy","IL","1","3","","","","0.2917","","","37","49"
"148177","The Illinois Institute of Art-Chicago","IL","3","1","366","2854","0.292376682","0.8503","11268.5","10113.5","6242","2322"
"146533","Lakeview College of Nursing","IL","3","1","","147","0.861702128","0.6372","15722.5","19750.0","246","284"
"146603","Lewis and Clark Community College","IL","2","2","238","1393","0.151534945","0.167","3500.0","3428.0","1373","4678"
"147819","Oehrlein School of Cosmetology","IL","1","3","","80","0.50877193","0.7547","","","96","70"
"148007","Prairie State College","IL","2","2","234","1260","0.109965636","0.1835","4750.0","4500.0","1805","4651"
"146490","Lake Forest Graduate School of Management","IL","4","1","","","","","","","",""
"146506","Lake Land College","IL","2","2","185","1392","0.292401628","0.1163","3130.0","3000.0","1173","4118"
"148487","Roosevelt University","IL","4","1","151","1465","0.35557038","0.6706","15000.0","14000.0","3030","3596"
"148380","Rock Valley College","IL","2","2","216","1308","0.183023873","0.0913","3310.0","3074.5","1304","7395"
"148593","St. John's College-Department of Nursing","IL","3","1","","","","0.9052","","","95","124"
"148654","University of Illinois at Springfield","IL","4","1","84","804","0.471186441","0.5521","13000.0","12500.0","1849","2959"
"148584","University of St Francis","IL","4","1","35","615","0.566866268","0.7678","19221.0","17571.0","1137","1757"
"145886","Institute for Clinical Social Work","IL","4","1","","","","","","","",""
"146278","John Wood Community College","IL","2","2","149","986","0.238347458","0.3223","4750.0","4483.5","1081","1638"
"143358","Bradley University","IL","4","1","63","1501","0.665254237","0.6731","24750.0","21500.0","2343","4823"
"144193","City Colleges of Chicago-Richard J Daley College","IL","2","2","195","1388","0.108938548","0.0283","3500.0","2250.0","605","4791"
"146977","McCormick Theological Seminary","IL","4","1","","","","","","","",""
"147004","McHenry County College","IL","2","2","85","676","0.25180433","0.1571","4100.0","3500.0","1096","4892"
"147590","National University of Health Sciences","IL","4","1","29","222","0.78021978","0.464","9500.0","10584.5","191","87"
"147660","North Central College","IL","4","1","59","864","0.626404494","0.6976","20000.0","16658.5","1591","2700"
"147536","National Louis University","IL","4","1","65","769","0.42228739","0.6637","10962.0","9500.0","1860","1393"
"147679","North Park University","IL","4","1","69","749","0.45631068","0.7099","17500.0","15500.0","1343","2190"
"146700","Lincoln College of Technology-Melrose Park","IL","2","2","303","2016","0.576496674","0.7774","10735.5","9500.0","4777","617"
