"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"241517","Centro de Estudios Multidisciplinarios-San Juan","PR","3","1","828","1250","0.113279133","0.0","0.0","2225.0","2500.0","147","987"
"262031","St Charles Community College","MO","2","2","159","1221","0.144311377","","0.1252","4750.0","3500.0","1558","6744"
"261472","ITT Technical Institute-Troy","MI","3","1","974","5336","0.370388079","0.0","0.8295","12667.0","11834.0","71736","581"
"260691","Pima Medical Institute-Mesa","AZ","2","2","1494","6319","0.691413573","","0.6075","8312.0","9500.0","12235","1146"
"262235","Arizona Academy of Beauty-North","AZ","1","3","","52","0.590909091","","0.5591","","","81","55"
"362782","Elizabeth Grady School of Esthetics and Massage Therapy","MA","1","3","","74","","","0.7476","","","188","171"
"363013","Ross Medical Education Center-Port Huron","MI","1","3","258","1068","0.748110831","","0.5192","9500.0","9500.0","2317","62"
"260789","Platt College-Los Angeles","CA","3","1","81","341","0.712380952","0.0","0.6835","17424.0","19500.0","1352","608"
"261719","Taylortown School of Beauty Inc","MI","1","3","","","","","0.5493","","","196","205"
"261931","Skyline College-Roanoke","VA","3","1","70","351","0.5","0.0","0.6215","16936.5","18588.0","277","193"
"250601","Carrington College-Phoenix East","AZ","2","2","893","4116","0.685851869","","0.5349","9421.0","9452.0","4794","513"
"261436","Douglas J Aveda Institute","MI","1","3","90","487","0.773095624","","0.648","9833.0","13833.0","1472","977"
"245652","St. John's College","NM","4","1","","121","0.432432432","0.0","0.6705","14500.0","19750.0","187","339"
"261676","Ross Medical Education Center-Brighton","MI","1","3","131","559","0.780916031","","0.4048","9500.0","9500.0","1878","127"
"364016","Paradise Valley Community College","AZ","2","2","223","1040","","","0.158","3500.0","3500.0","2474","7068"
"363916","Caribbean University-Vega Baja","PR","4","1","842","1534","0.131578947","0.0957","0.3","5500.0","5500.0","1219","483"
"364812","Cannella School of Hair Design-Chicago","IL","1","3","","78","","","0.0","","","","52"
"364955","Brightwood College-San Antonio-San Pedro","TX","2","2","967","4401","0.719900498","","0.388","9332.0","9061.0","3214","645"
"363439","Daymar College-Bowling Green","KY","3","1","394","1644","0.320631464","0.0","0.907","16540.0","11683.5","1699","255"
"363721","University of the District of Columbia-David A Clarke School of Law","DC","4","1","165","969","0.171134021","","","6500.0","6733.0","2302",""
"363633","Luna Community College","NM","2","2","49","264","0.177710843","","0.0914","3500.0","3500.0","271","868"
